rgb,depth,mask,type,physical_id,placement_id,frame,occupancy,t,area_mm2,length_mm,width_mm,elongation,max_height_mm,mean_height_mm,p90_height_mm,height_std_mm,volume_mm3,invalid_depth_frac
syringe_with_fixed_needle\sim_syringe_with_fixed_needle_000\sim_syringe_with_fixed_needle_000_p001\rgb_00.png,syringe_with_fixed_needle\sim_syringe_with_fixed_needle_000\sim_syringe_with_fixed_needle_000_p001\depth_00.png,syringe_with_fixed_needle\sim_syringe_with_fixed_needle_000\sim_syringe_with_fixed_needle_000_p001\mask.png,syringe_with_fixed_needle,sim_syringe_with_fixed_needle_000,sim_syringe_with_fixed_needle_000_p001,0,ONE,1790365409.718,929.1875,114.2219,13.869,8.2358,14.2757,10.9037,12.7329,2.6119,9931.9307,0.0012
syringe_with_fixed_needle\sim_syringe_with_fixed_needle_000\sim_syringe_with_fixed_needle_000_p001\rgb_01.png,syringe_with_fixed_needle\sim_syringe_with_fixed_needle_000\sim_syringe_with_fixed_needle_000_p001\depth_01.png,syringe_with_fixed_needle\sim_syringe_with_fixed_needle_000\sim_syringe_with_fixed_needle_000_p001\mask.png,syringe_with_fixed_needle,sim_syringe_with_fixed_needle_000,sim_syringe_with_fixed_needle_000_p001,1,ONE,1790365409.93,925.5,114.1918,13.617,8.386,14.3718,10.9091,12.7401,2.5963,9933.4189,0.0009
needle\sim_needle_000\sim_needle_000_p002\rgb_00.png,needle\sim_needle_000\sim_needle_000_p002\depth_00.png,needle\sim_needle_000\sim_needle_000_p002\mask.png,needle,sim_needle_000,sim_needle_000_p002,0,ONE,1790365424.849,63.875,42.8,5.65,7.5752,6.9152,3.5011,5.608,2.0737,205.4688,0.002
needle\sim_needle_000\sim_needle_000_p002\rgb_01.png,needle\sim_needle_000\sim_needle_000_p002\depth_01.png,needle\sim_needle_000\sim_needle_000_p002\mask.png,needle,sim_needle_000,sim_needle_000_p002,1,ONE,1790365425.062,61.625,42.7785,5.3501,7.9959,6.9246,3.5918,5.5928,2.0137,203.8344,0.002
needle\sim_needle_001\sim_needle_001_p002\rgb_00.png,needle\sim_needle_001\sim_needle_001_p002\depth_00.png,needle\sim_needle_001\sim_needle_001_p002\mask.png,needle,sim_needle_001,sim_needle_001_p002,0,ONE,1790365425.365,62.8125,42.499,5.9981,7.0854,7.1437,3.4561,5.6329,2.0995,199.5873,0.002
needle\sim_needle_001\sim_needle_001_p002\rgb_01.png,needle\sim_needle_001\sim_needle_001_p002\depth_01.png,needle\sim_needle_001\sim_needle_001_p002\mask.png,needle,sim_needle_001,sim_needle_001_p002,1,ONE,1790365425.571,61.875,42.6659,5.3154,8.0268,6.8911,3.446,5.6028,2.0854,199.4367,0.001
needle\sim_needle_002\sim_needle_002_p002\rgb_00.png,needle\sim_needle_002\sim_needle_002_p002\depth_00.png,needle\sim_needle_002\sim_needle_002_p002\mask.png,needle,sim_needle_002,sim_needle_002_p002,0,ONE,1790365425.886,63.5,42.5439,5.3955,7.8851,7.3454,3.4186,5.6358,2.0974,200.1996,0.0039
needle\sim_needle_002\sim_needle_002_p002\rgb_01.png,needle\sim_needle_002\sim_needle_002_p002\depth_01.png,needle\sim_needle_002\sim_needle_002_p002\mask.png,needle,sim_needle_002,sim_needle_002_p002,1,ONE,1790365426.116,62.1875,43.2571,5.6436,7.6648,6.839,3.4955,5.6452,2.0581,199.9011,0.003
needle\sim_needle_003\sim_needle_003_p002\rgb_00.png,needle\sim_needle_003\sim_needle_003_p002\depth_00.png,needle\sim_needle_003\sim_needle_003_p002\mask.png,needle,sim_needle_003,sim_needle_003_p002,0,ONE,1790365426.413,60.5,42.699,5.3955,7.9138,6.749,3.5639,5.6564,2.0191,200.023,0.0
needle\sim_needle_003\sim_needle_003_p002\rgb_01.png,needle\sim_needle_003\sim_needle_003_p002\depth_01.png,needle\sim_needle_003\sim_needle_003_p002\mask.png,needle,sim_needle_003,sim_needle_003_p002,1,ONE,1790365426.625,61.4375,42.6603,5.3593,7.96,7.1678,3.5711,5.6671,2.0531,202.2112,0.001
syringe_with_fixed_needle\sim_syringe_with_fixed_needle_000\sim_syringe_with_fixed_needle_000_p002\rgb_00.png,syringe_with_fixed_needle\sim_syringe_with_fixed_needle_000\sim_syringe_with_fixed_needle_000_p002\depth_00.png,syringe_with_fixed_needle\sim_syringe_with_fixed_needle_000\sim_syringe_with_fixed_needle_000_p002\mask.png,syringe_with_fixed_needle,sim_syringe_with_fixed_needle_000,sim_syringe_with_fixed_needle_000_p002,0,ONE,1790365426.922,925.0,114.2651,13.1551,8.686,14.4619,10.8869,12.7365,2.6361,9914.5332,0.001
syringe_with_fixed_needle\sim_syringe_with_fixed_needle_000\sim_syringe_with_fixed_needle_000_p002\rgb_01.png,syringe_with_fixed_needle\sim_syringe_with_fixed_needle_000\sim_syringe_with_fixed_needle_000_p002\depth_01.png,syringe_with_fixed_needle\sim_syringe_with_fixed_needle_000\sim_syringe_with_fixed_needle_000_p002\mask.png,syringe_with_fixed_needle,sim_syringe_with_fixed_needle_000,sim_syringe_with_fixed_needle_000_p002,1,ONE,1790365427.14,923.9375,114.2893,13.8483,8.2529,14.6995,10.8867,12.7247,2.6178,9904.8711,0.0013
syringe_with_fixed_needle\sim_syringe_with_fixed_needle_001\sim_syringe_with_fixed_needle_001_p001\rgb_00.png,syringe_with_fixed_needle\sim_syringe_with_fixed_needle_001\sim_syringe_with_fixed_needle_001_p001\depth_00.png,syringe_with_fixed_needle\sim_syringe_with_fixed_needle_001\sim_syringe_with_fixed_needle_001_p001\mask.png,syringe_with_fixed_needle,sim_syringe_with_fixed_needle_001,sim_syringe_with_fixed_needle_001_p001,0,ONE,1790365427.431,921.875,114.1651,12.9336,8.827,14.6583,10.9384,12.7414,2.5455,9888.9883,0.0016
syringe_with_fixed_needle\sim_syringe_with_fixed_needle_001\sim_syringe_with_fixed_needle_001_p001\rgb_01.png,syringe_with_fixed_needle\sim_syringe_with_fixed_needle_001\sim_syringe_with_fixed_needle_001_p001\depth_01.png,syringe_with_fixed_needle\sim_syringe_with_fixed_needle_001\sim_syringe_with_fixed_needle_001_p001\mask.png,syringe_with_fixed_needle,sim_syringe_with_fixed_needle_001,sim_syringe_with_fixed_needle_001_p001,1,ONE,1790365427.661,919.4375,114.1659,12.5384,9.1053,14.4332,10.9373,12.7538,2.5637,9903.0088,0.0007
syringe_with_fixed_needle\sim_syringe_with_fixed_needle_002\sim_syringe_with_fixed_needle_002_p001\rgb_00.png,syringe_with_fixed_needle\sim_syringe_with_fixed_needle_002\sim_syringe_with_fixed_needle_002_p001\depth_00.png,syringe_with_fixed_needle\sim_syringe_with_fixed_needle_002\sim_syringe_with_fixed_needle_002_p001\mask.png,syringe_with_fixed_needle,sim_syringe_with_fixed_needle_002,sim_syringe_with_fixed_needle_002_p001,0,ONE,1790365427.946,912.5625,114.195,13.1731,8.6688,14.5549,10.8928,12.707,2.5939,9810.3125,0.0011
syringe_with_fixed_needle\sim_syringe_with_fixed_needle_002\sim_syringe_with_fixed_needle_002_p001\rgb_01.png,syringe_with_fixed_needle\sim_syringe_with_fixed_needle_002\sim_syringe_with_fixed_needle_002_p001\depth_01.png,syringe_with_fixed_needle\sim_syringe_with_fixed_needle_002\sim_syringe_with_fixed_needle_002_p001\mask.png,syringe_with_fixed_needle,sim_syringe_with_fixed_needle_002,sim_syringe_with_fixed_needle_002_p001,1,ONE,1790365428.152,914.0,114.1871,12.5827,9.0749,14.2408,10.9068,12.7552,2.6161,9823.6504,0.0016
syringe_with_fixed_needle\sim_syringe_with_fixed_needle_003\sim_syringe_with_fixed_needle_003_p001\rgb_00.png,syringe_with_fixed_needle\sim_syringe_with_fixed_needle_003\sim_syringe_with_fixed_needle_003_p001\depth_00.png,syringe_with_fixed_needle\sim_syringe_with_fixed_needle_003\sim_syringe_with_fixed_needle_003_p001\mask.png,syringe_with_fixed_needle,sim_syringe_with_fixed_needle_003,sim_syringe_with_fixed_needle_003_p001,0,ONE,1790365428.425,926.8125,114.0517,13.8465,8.2369,14.3499,10.8663,12.7197,2.635,9882.9297,0.0012
syringe_with_fixed_needle\sim_syringe_with_fixed_needle_003\sim_syringe_with_fixed_needle_003_p001\rgb_01.png,syringe_with_fixed_needle\sim_syringe_with_fixed_needle_003\sim_syringe_with_fixed_needle_003_p001\depth_01.png,syringe_with_fixed_needle\sim_syringe_with_fixed_needle_003\sim_syringe_with_fixed_needle_003_p001\mask.png,syringe_with_fixed_needle,sim_syringe_with_fixed_needle_003,sim_syringe_with_fixed_needle_003_p001,1,ONE,1790365428.636,925.6875,114.0,13.0,8.7692,14.3639,10.9086,12.753,2.621,9902.9248,0.0014
scalpel_blade\sim_scalpel_blade_000\sim_scalpel_blade_000_p001\rgb_00.png,scalpel_blade\sim_scalpel_blade_000\sim_scalpel_blade_000_p001\depth_00.png,scalpel_blade\sim_scalpel_blade_000\sim_scalpel_blade_000_p001\mask.png,scalpel_blade,sim_scalpel_blade_000,sim_scalpel_blade_000_p001,0,ONE,1790365428.904,620.4375,58.2225,12.8928,4.5159,7.4884,4.8963,5.8876,1.0428,409.1439,0.8546
scalpel_blade\sim_scalpel_blade_000\sim_scalpel_blade_000_p001\rgb_01.png,scalpel_blade\sim_scalpel_blade_000\sim_scalpel_blade_000_p001\depth_01.png,scalpel_blade\sim_scalpel_blade_000\sim_scalpel_blade_000_p001\mask.png,scalpel_blade,sim_scalpel_blade_000,sim_scalpel_blade_000_p001,1,ONE,1790365429.098,618.75,58.2434,12.1399,4.7977,7.0456,4.956,5.8926,0.8606,407.6286,0.8565
scalpel_blade\sim_scalpel_blade_001\sim_scalpel_blade_001_p001\rgb_00.png,scalpel_blade\sim_scalpel_blade_001\sim_scalpel_blade_001_p001\depth_00.png,scalpel_blade\sim_scalpel_blade_001\sim_scalpel_blade_001_p001\mask.png,scalpel_blade,sim_scalpel_blade_001,sim_scalpel_blade_001_p001,0,ONE,1790365429.364,621.6875,58.1742,12.2727,4.7401,7.0474,4.9038,5.8489,0.9589,406.4048,0.8577
scalpel_blade\sim_scalpel_blade_001\sim_scalpel_blade_001_p001\rgb_01.png,scalpel_blade\sim_scalpel_blade_001\sim_scalpel_blade_001_p001\depth_01.png,scalpel_blade\sim_scalpel_blade_001\sim_scalpel_blade_001_p001\mask.png,scalpel_blade,sim_scalpel_blade_001,sim_scalpel_blade_001_p001,1,ONE,1790365429.576,622.1875,58.205,12.0727,4.8212,6.8763,4.8422,5.7575,0.9339,402.8104,0.8568
scalpel_blade\sim_scalpel_blade_002\sim_scalpel_blade_002_p001\rgb_00.png,scalpel_blade\sim_scalpel_blade_002\sim_scalpel_blade_002_p001\depth_00.png,scalpel_blade\sim_scalpel_blade_002\sim_scalpel_blade_002_p001\mask.png,scalpel_blade,sim_scalpel_blade_002,sim_scalpel_blade_002_p001,0,ONE,1790365429.837,619.25,58.193,12.7123,4.5777,6.8231,4.8066,5.8134,1.1243,406.4611,0.851
scalpel_blade\sim_scalpel_blade_002\sim_scalpel_blade_002_p001\rgb_01.png,scalpel_blade\sim_scalpel_blade_002\sim_scalpel_blade_002_p001\depth_01.png,scalpel_blade\sim_scalpel_blade_002\sim_scalpel_blade_002_p001\mask.png,scalpel_blade,sim_scalpel_blade_002,sim_scalpel_blade_002_p001,1,ONE,1790365430.061,619.1875,58.3518,12.4815,4.6751,7.1079,4.7987,5.7725,1.1072,405.1926,0.8513
scalpel_blade\sim_scalpel_blade_003\sim_scalpel_blade_003_p001\rgb_00.png,scalpel_blade\sim_scalpel_blade_003\sim_scalpel_blade_003_p001\depth_00.png,scalpel_blade\sim_scalpel_blade_003\sim_scalpel_blade_003_p001\mask.png,scalpel_blade,sim_scalpel_blade_003,sim_scalpel_blade_003_p001,0,ONE,1790365430.327,624.6875,59.6096,12.0746,4.9368,7.0157,4.8706,5.8065,0.9934,409.7369,0.8558
scalpel_blade\sim_scalpel_blade_003\sim_scalpel_blade_003_p001\rgb_01.png,scalpel_blade\sim_scalpel_blade_003\sim_scalpel_blade_003_p001\depth_01.png,scalpel_blade\sim_scalpel_blade_003\sim_scalpel_blade_003_p001\mask.png,scalpel_blade,sim_scalpel_blade_003,sim_scalpel_blade_003_p001,1,ONE,1790365430.539,627.0,59.1957,11.8104,5.0122,7.1398,4.8385,5.8653,1.1017,411.2733,0.8526
lancet\sim_lancet_000\sim_lancet_000_p001\rgb_00.png,lancet\sim_lancet_000\sim_lancet_000_p001\depth_00.png,lancet\sim_lancet_000\sim_lancet_000_p001\mask.png,lancet,sim_lancet_000,sim_lancet_000_p001,0,ONE,1790365430.806,206.75,29.1698,8.0041,3.6444,6.1681,3.8952,4.7932,0.8413,793.8977,0.0009
lancet\sim_lancet_000\sim_lancet_000_p001\rgb_01.png,lancet\sim_lancet_000\sim_lancet_000_p001\depth_01.png,lancet\sim_lancet_000\sim_lancet_000_p001\mask.png,lancet,sim_lancet_000,sim_lancet_000_p001,1,ONE,1790365431.025,206.0,28.4401,7.8678,3.6148,6.2648,3.9149,4.8437,0.801,791.053,0.0012
lancet\sim_lancet_001\sim_lancet_001_p001\rgb_00.png,lancet\sim_lancet_001\sim_lancet_001_p001\depth_00.png,lancet\sim_lancet_001\sim_lancet_001_p001\mask.png,lancet,sim_lancet_001,sim_lancet_001_p001,0,ONE,1790365431.291,208.125,28.9545,9.1808,3.1538,6.0933,3.9077,4.8148,0.838,796.9316,0.0024
lancet\sim_lancet_001\sim_lancet_001_p001\rgb_01.png,lancet\sim_lancet_001\sim_lancet_001_p001\depth_01.png,lancet\sim_lancet_001\sim_lancet_001_p001\mask.png,lancet,sim_lancet_001,sim_lancet_001_p001,1,ONE,1790365431.509,207.3125,29.4198,8.14,3.6142,6.356,3.9338,4.8235,0.8332,801.7504,0.0012
lancet\sim_lancet_002\sim_lancet_002_p001\rgb_00.png,lancet\sim_lancet_002\sim_lancet_002_p001\depth_00.png,lancet\sim_lancet_002\sim_lancet_002_p001\mask.png,lancet,sim_lancet_002,sim_lancet_002_p001,0,ONE,1790365431.781,209.4375,28.4373,8.1856,3.4741,6.3661,3.902,4.8017,0.8145,805.2843,0.0009
lancet\sim_lancet_002\sim_lancet_002_p001\rgb_01.png,lancet\sim_lancet_002\sim_lancet_002_p001\depth_01.png,lancet\sim_lancet_002\sim_lancet_002_p001\mask.png,lancet,sim_lancet_002,sim_lancet_002_p001,1,ONE,1790365431.994,209.25,28.4269,8.0674,3.5237,6.1728,3.906,4.8135,0.8323,807.3258,0.0009
lancet\sim_lancet_003\sim_lancet_003_p001\rgb_00.png,lancet\sim_lancet_003\sim_lancet_003_p001\depth_00.png,lancet\sim_lancet_003\sim_lancet_003_p001\mask.png,lancet,sim_lancet_003,sim_lancet_003_p001,0,ONE,1790365432.272,206.25,28.5283,7.9083,3.6074,6.1875,3.9273,4.8272,0.8195,797.4939,0.0021
lancet\sim_lancet_003\sim_lancet_003_p001\rgb_01.png,lancet\sim_lancet_003\sim_lancet_003_p001\depth_01.png,lancet\sim_lancet_003\sim_lancet_003_p001\mask.png,lancet,sim_lancet_003,sim_lancet_003_p001,1,ONE,1790365432.472,208.5625,29.3449,9.0156,3.2549,6.359,3.9039,4.8178,0.8329,795.4198,0.0024
syringe_without_needle\sim_syringe_without_needle_000\sim_syringe_without_needle_000_p001\rgb_00.png,syringe_without_needle\sim_syringe_without_needle_000\sim_syringe_without_needle_000_p001\depth_00.png,syringe_without_needle\sim_syringe_without_needle_000\sim_syringe_without_needle_000_p001\mask.png,syringe_without_needle,sim_syringe_without_needle_000,sim_syringe_without_needle_000_p001,0,ONE,1790365432.745,1094.875,86.3516,14.4855,5.9612,15.7169,12.4203,13.7711,1.7422,13456.6641,0.001
syringe_without_needle\sim_syringe_without_needle_000\sim_syringe_without_needle_000_p001\rgb_01.png,syringe_without_needle\sim_syringe_without_needle_000\sim_syringe_without_needle_000_p001\depth_01.png,syringe_without_needle\sim_syringe_without_needle_000\sim_syringe_without_needle_000_p001\mask.png,syringe_without_needle,sim_syringe_without_needle_000,sim_syringe_without_needle_000_p001,1,ONE,1790365432.964,1095.5,85.7528,14.9125,5.7504,15.7068,12.4204,13.7551,1.7262,13453.623,0.0012
syringe_without_needle\sim_syringe_without_needle_001\sim_syringe_without_needle_001_p001\rgb_00.png,syringe_without_needle\sim_syringe_without_needle_001\sim_syringe_without_needle_001_p001\depth_00.png,syringe_without_needle\sim_syringe_without_needle_001\sim_syringe_without_needle_001_p001\mask.png,syringe_without_needle,sim_syringe_without_needle_001,sim_syringe_without_needle_001_p001,0,ONE,1790365433.248,1102.125,86.0893,15.0954,5.703,15.9967,12.4072,13.7605,1.7566,13505.2441,0.0017
syringe_without_needle\sim_syringe_without_needle_001\sim_syringe_without_needle_001_p001\rgb_01.png,syringe_without_needle\sim_syringe_without_needle_001\sim_syringe_without_needle_001_p001\depth_01.png,syringe_without_needle\sim_syringe_without_needle_001\sim_syringe_without_needle_001_p001\mask.png,syringe_without_needle,sim_syringe_without_needle_001,sim_syringe_without_needle_001_p001,1,ONE,1790365433.46,1099.1875,85.8471,14.24,6.0286,15.4997,12.4311,13.7845,1.7165,13522.6699,0.0011
syringe_without_needle\sim_syringe_without_needle_002\sim_syringe_without_needle_002_p001\rgb_00.png,syringe_without_needle\sim_syringe_without_needle_002\sim_syringe_without_needle_002_p001\depth_00.png,syringe_without_needle\sim_syringe_without_needle_002\sim_syringe_without_needle_002_p001\mask.png,syringe_without_needle,sim_syringe_without_needle_002,sim_syringe_without_needle_002_p001,0,ONE,1790365433.726,1097.5,85.746,14.5532,5.8919,15.4257,12.4255,13.7589,1.7014,13471.5752,0.0012
syringe_without_needle\sim_syringe_without_needle_002\sim_syringe_without_needle_002_p001\rgb_01.png,syringe_without_needle\sim_syringe_without_needle_002\sim_syringe_without_needle_002_p001\depth_01.png,syringe_without_needle\sim_syringe_without_needle_002\sim_syringe_without_needle_002_p001\mask.png,syringe_without_needle,sim_syringe_without_needle_002,sim_syringe_without_needle_002_p001,1,ONE,1790365433.938,1096.375,86.3692,14.0538,6.1456,15.5066,12.4219,13.7718,1.7334,13475.4111,0.0014
syringe_without_needle\sim_syringe_without_needle_003\sim_syringe_without_needle_003_p001\rgb_00.png,syringe_without_needle\sim_syringe_without_needle_003\sim_syringe_without_needle_003_p001\depth_00.png,syringe_without_needle\sim_syringe_without_needle_003\sim_syringe_without_needle_003_p001\mask.png,syringe_without_needle,sim_syringe_without_needle_003,sim_syringe_without_needle_003_p001,0,ONE,1790365434.205,1095.25,86.2471,14.8702,5.8,15.6666,12.3979,13.7527,1.7959,13420.7168,0.0015
syringe_without_needle\sim_syringe_without_needle_003\sim_syringe_without_needle_003_p001\rgb_01.png,syringe_without_needle\sim_syringe_without_needle_003\sim_syringe_without_needle_003_p001\depth_01.png,syringe_without_needle\sim_syringe_without_needle_003\sim_syringe_without_needle_003_p001\mask.png,syringe_without_needle,sim_syringe_without_needle_003,sim_syringe_without_needle_003_p001,1,ONE,1790365434.417,1092.3125,86.6194,14.0474,6.1662,15.6215,12.414,13.7462,1.7364,13413.3506,0.0015
iv_set_tubing\sim_iv_set_tubing_000\sim_iv_set_tubing_000_p001\rgb_00.png,iv_set_tubing\sim_iv_set_tubing_000\sim_iv_set_tubing_000_p001\depth_00.png,iv_set_tubing\sim_iv_set_tubing_000\sim_iv_set_tubing_000_p001\mask.png,iv_set_tubing,sim_iv_set_tubing_000,sim_iv_set_tubing_000_p001,0,ONE,1790365434.684,593.9375,100.2327,12.9461,7.7423,12.2511,6.2248,10.4232,3.0827,3601.0713,0.0016
iv_set_tubing\sim_iv_set_tubing_000\sim_iv_set_tubing_000_p001\rgb_01.png,iv_set_tubing\sim_iv_set_tubing_000\sim_iv_set_tubing_000_p001\depth_01.png,iv_set_tubing\sim_iv_set_tubing_000\sim_iv_set_tubing_000_p001\mask.png,iv_set_tubing,sim_iv_set_tubing_000,sim_iv_set_tubing_000_p001,1,ONE,1790365434.902,596.1875,101.287,13.113,7.7241,12.3907,6.2059,10.4202,3.0758,3600.6096,0.0021
iv_set_tubing\sim_iv_set_tubing_001\sim_iv_set_tubing_001_p001\rgb_00.png,iv_set_tubing\sim_iv_set_tubing_001\sim_iv_set_tubing_001_p001\depth_00.png,iv_set_tubing\sim_iv_set_tubing_001\sim_iv_set_tubing_001_p001\mask.png,iv_set_tubing,sim_iv_set_tubing_001,sim_iv_set_tubing_001_p001,0,ONE,1790365435.18,596.875,100.8058,12.3489,8.1631,12.1369,6.1672,10.4103,3.0991,3603.5679,0.0013
iv_set_tubing\sim_iv_set_tubing_001\sim_iv_set_tubing_001_p001\rgb_01.png,iv_set_tubing\sim_iv_set_tubing_001\sim_iv_set_tubing_001_p001\depth_01.png,iv_set_tubing\sim_iv_set_tubing_001\sim_iv_set_tubing_001_p001\mask.png,iv_set_tubing,sim_iv_set_tubing_001,sim_iv_set_tubing_001_p001,1,ONE,1790365435.411,596.1875,100.3267,13.0768,7.6721,12.372,6.1931,10.4051,3.0758,3603.1958,0.001
iv_set_tubing\sim_iv_set_tubing_002\sim_iv_set_tubing_002_p001\rgb_00.png,iv_set_tubing\sim_iv_set_tubing_002\sim_iv_set_tubing_002_p001\depth_00.png,iv_set_tubing\sim_iv_set_tubing_002\sim_iv_set_tubing_002_p001\mask.png,iv_set_tubing,sim_iv_set_tubing_002,sim_iv_set_tubing_002_p001,0,ONE,1790365435.691,587.6875,101.293,12.3744,8.1857,12.3448,6.2095,10.4361,3.1052,3546.002,0.002
iv_set_tubing\sim_iv_set_tubing_002\sim_iv_set_tubing_002_p001\rgb_01.png,iv_set_tubing\sim_iv_set_tubing_002\sim_iv_set_tubing_002_p001\depth_01.png,iv_set_tubing\sim_iv_set_tubing_002\sim_iv_set_tubing_002_p001\mask.png,iv_set_tubing,sim_iv_set_tubing_002,sim_iv_set_tubing_002_p001,1,ONE,1790365435.913,586.25,102.3779,13.2971,7.6993,12.2247,6.2111,10.4059,3.0956,3551.9507,0.0015
iv_set_tubing\sim_iv_set_tubing_003\sim_iv_set_tubing_003_p001\rgb_00.png,iv_set_tubing\sim_iv_set_tubing_003\sim_iv_set_tubing_003_p001\depth_00.png,iv_set_tubing\sim_iv_set_tubing_003\sim_iv_set_tubing_003_p001\mask.png,iv_set_tubing,sim_iv_set_tubing_003,sim_iv_set_tubing_003_p001,0,ONE,1790365436.201,588.75,101.1575,13.8269,7.316,12.0607,6.2159,10.394,3.0968,3564.7944,0.0022
iv_set_tubing\sim_iv_set_tubing_003\sim_iv_set_tubing_003_p001\rgb_01.png,iv_set_tubing\sim_iv_set_tubing_003\sim_iv_set_tubing_003_p001\depth_01.png,iv_set_tubing\sim_iv_set_tubing_003\sim_iv_set_tubing_003_p001\mask.png,iv_set_tubing,sim_iv_set_tubing_003,sim_iv_set_tubing_003_p001,1,ONE,1790365436.423,589.9375,101.2871,13.176,7.6872,12.1982,6.213,10.4152,3.103,3578.6709,0.0014
catheter\sim_catheter_000\sim_catheter_000_p001\rgb_00.png,catheter\sim_catheter_000\sim_catheter_000_p001\depth_00.png,catheter\sim_catheter_000\sim_catheter_000_p001\mask.png,catheter,sim_catheter_000,sim_catheter_000_p001,0,ONE,1790365436.702,445.3125,105.1821,12.0208,8.75,10.1475,4.5948,8.3549,2.5196,1992.4413,0.002
catheter\sim_catheter_000\sim_catheter_000_p001\rgb_01.png,catheter\sim_catheter_000\sim_catheter_000_p001\depth_01.png,catheter\sim_catheter_000\sim_catheter_000_p001\mask.png,catheter,sim_catheter_000,sim_catheter_000_p001,1,ONE,1790365436.901,442.6875,105.5357,12.0208,8.7794,10.1066,4.6111,8.3158,2.5026,1990.5659,0.0018
catheter\sim_catheter_001\sim_catheter_001_p001\rgb_00.png,catheter\sim_catheter_001\sim_catheter_001_p001\depth_00.png,catheter\sim_catheter_001\sim_catheter_001_p001\mask.png,catheter,sim_catheter_001,sim_catheter_001_p001,0,ONE,1790365437.18,445.625,105.2893,12.163,8.6565,10.0927,4.5874,8.372,2.5179,2002.4033,0.0011
catheter\sim_catheter_001\sim_catheter_001_p001\rgb_01.png,catheter\sim_catheter_001\sim_catheter_001_p001\depth_01.png,catheter\sim_catheter_001\sim_catheter_001_p001\mask.png,catheter,sim_catheter_001,sim_catheter_001_p001,1,ONE,1790365437.386,446.25,105.2893,12.1166,8.6897,10.2856,4.5787,8.3356,2.5038,2001.4451,0.0008
catheter\sim_catheter_002\sim_catheter_002_p001\rgb_00.png,catheter\sim_catheter_002\sim_catheter_002_p001\depth_00.png,catheter\sim_catheter_002\sim_catheter_002_p001\mask.png,catheter,sim_catheter_002,sim_catheter_002_p001,0,ONE,1790365437.653,455.4375,105.0952,12.1866,8.6239,9.9774,4.5685,8.3245,2.495,2032.1095,0.0008
catheter\sim_catheter_002\sim_catheter_002_p001\rgb_01.png,catheter\sim_catheter_002\sim_catheter_002_p001\depth_01.png,catheter\sim_catheter_002\sim_catheter_002_p001\mask.png,catheter,sim_catheter_002,sim_catheter_002_p001,1,ONE,1790365437.871,459.125,105.3188,12.1866,8.6422,10.2685,4.5605,8.3298,2.4954,2035.1124,0.0014
catheter\sim_catheter_003\sim_catheter_003_p001\rgb_00.png,catheter\sim_catheter_003\sim_catheter_003_p001\depth_00.png,catheter\sim_catheter_003\sim_catheter_003_p001\mask.png,catheter,sim_catheter_003,sim_catheter_003_p001,0,ONE,1790365438.143,451.3125,105.1828,12.8933,8.158,10.2989,4.5682,8.3324,2.5075,2003.7426,0.0017
catheter\sim_catheter_003\sim_catheter_003_p001\rgb_01.png,catheter\sim_catheter_003\sim_catheter_003_p001\depth_01.png,catheter\sim_catheter_003\sim_catheter_003_p001\mask.png,catheter,sim_catheter_003,sim_catheter_003_p001,1,ONE,1790365438.351,447.1875,105.2144,12.1764,8.6408,9.9619,4.5928,8.3577,2.5053,2004.1702,0.0011
urine_bag\sim_urine_bag_000\sim_urine_bag_000_p000\rgb_00.png,urine_bag\sim_urine_bag_000\sim_urine_bag_000_p000\depth_00.png,urine_bag\sim_urine_bag_000\sim_urine_bag_000_p000\mask.png,urine_bag,sim_urine_bag_000,sim_urine_bag_000_p000,0,ONE,1790365438.634,6030.25,118.1701,67.1828,1.7589,7.9434,4.9624,5.8221,0.7111,29796.1328,0.0011
urine_bag\sim_urine_bag_000\sim_urine_bag_000_p000\rgb_01.png,urine_bag\sim_urine_bag_000\sim_urine_bag_000_p000\depth_01.png,urine_bag\sim_urine_bag_000\sim_urine_bag_000_p000\mask.png,urine_bag,sim_urine_bag_000,sim_urine_bag_000_p000,1,ONE,1790365438.846,6025.9375,118.3482,66.1707,1.7885,7.782,4.9591,5.8164,0.7077,29762.8535,0.001
needle\sim_needle_000\sim_needle_000_p003\rgb_00.png,needle\sim_needle_000\sim_needle_000_p003\depth_00.png,needle\sim_needle_000\sim_needle_000_p003\mask.png,needle,sim_needle_000,sim_needle_000_p003,0,ONE,1790365453.277,60.5625,42.5591,5.2727,8.0717,6.8246,3.5364,5.7135,2.063,199.3624,0.001
needle\sim_needle_000\sim_needle_000_p003\rgb_01.png,needle\sim_needle_000\sim_needle_000_p003\depth_01.png,needle\sim_needle_000\sim_needle_000_p003\mask.png,needle,sim_needle_000,sim_needle_000_p003,1,ONE,1790365453.479,61.8125,42.5591,5.5786,7.629,7.2036,3.4923,5.6611,2.0987,198.841,0.0051
needle\sim_needle_001\sim_needle_001_p003\rgb_00.png,needle\sim_needle_001\sim_needle_001_p003\depth_00.png,needle\sim_needle_001\sim_needle_001_p003\mask.png,needle,sim_needle_001,sim_needle_001_p003,0,ONE,1790365453.77,62.625,42.8077,5.3747,7.9647,7.3426,3.5091,5.6009,2.0679,200.8983,0.002
